Price($),Milage,Badge
27000,47874,Good Deal
16500,115431,Good Deal
26989,19748,Fair Deal
28000,41373,Good Deal
39807,64272,Great Deal 
43900,34419,Good Deal 
27691,38569,Good Deal
34450,16387,Good Deal
22490,84553,Fair Deal
24488,64759,Good Deal 
47899,3443,Good Deal
21995,55865,Good Deal
25890,47751,Fair Deal
30720,16405,Good Deal
27588,39185,Fair Deal
31941,46819,Good Deal
29700,12553,Good Deal
14880,36872,Great Deal 
45989,66251,Good Deal
12995,58679,Great Deal 
49980,34046,Fair Deal
35992,25138,Good Deal 
45225,16255,Good Deal
30599,19618,Good Deal 
30000,23076,Good Deal
9995,131350,Fair Deal
35048,58400,Great Deal 
45000,41173,Fair Deal
37391,65052,Good Deal
25989,31885,Good Deal
14994,74989,Good Deal
29799,35215,Good Deal
38989,17570,Good Deal
42974,26814,Good Deal
38959,88026,Good Deal
44333,22329,Good Deal
40211,15693,Good Deal
38590,87514,Good Deal
25500,32883,Good Deal
29990,13033,Fair Deal
22495,35376,Good Deal
30957,34446,Good Deal 
27988,32738,Fair Deal
29637,22423,Good Deal 
41950,85280,Good Deal
30522,40152,Good Deal
22887,61144,Good Deal
34500,17437,Good Deal
29350,87893,Good Deal
22896,85227,Good Deal
19269,49160,Good Deal
36188,18524,Good Deal 
53991,3788,Great Deal 
36500,23945,Great Deal 
41603,18325,Good Deal
49501,19816,Fair Deal
31438,73999,Great Deal
28498,48627,Good Deal
42995,11159,Good Deal
35274,69359,Good Deal
28959,34046,Great Deal 
46490,30408,Good Deal
44391,39136,Good Deal
26670,58667,Fair Deal
29299,41779,Good Deal
29575,45251,Fair Deal
19000,32207,Great Deal 
32000,18273,Good Deal
28900,29890,Good Deal
29582,53214,Good Deal
23015,13817,Great Deal
27347,34413,Fair Deal
13999,102003,Good Deal
24988,53529,Fair Deal
19978,34417,Good Deal
38480,45134,Good Deal
27979,19169,Great Deal 
34830,44526,Good Deal
29263,44094,Good Deal 
31368,49815,Good Deal 
27998,34209,Good Deal 
39228,44601,Good Deal 
24889,31650,Good Deal
41894,36361,Good Deal
14491,90295,Great Deal 
27383,56348,Great Deal 
27595,16766,Good Deal
26909,34482,Fair Deal
40995,39009,Fair Deal
20499,58013,Good Deal
20594,46960,Great Deal 
18800,23091,Good Deal 
9978,88145,Good Deal
44787,15196,Good Deal
41900,30163,Fair Deal
45998,41753,Good Deal
25985,29676,Good Deal
21990,99251,Fair Deal
14949,178971,Good Deal
37985,11700,Good Deal 
24991,92625,Great Deal
19890,49865,Good Deal
33991,22940,Good Deal
25800,39426,Good Deal
30916,32418,Great Deal 
26848,30536,Fair Deal
31000,80079,Good Deal 
29948,32262,Good Deal 
39795,78236,Fair Deal
28991,25694,Good Deal
30996,63439,Good Deal
45777,19901,Good Deal
36094,22548,Good Deal
47000,15543,Good Deal
16900,78651,Good Deal 
19499,45239,Good Deal
35312,17699,Great Deal
13995,127649,Great Deal 
29990,56779,Good Deal
36177,12180,Good Deal
13990,17333,Good Deal
42819,11216,Good Deal
28990,11543,Good Deal
39049,70603,Great Deal 
36188,22984,Good Deal 
31999,18389,Good Deal
28595,45418,Good Deal
24874,116524,Good Deal
35991,49380,Good Deal
48989,50278,Good Deal
30452,59183,Fair Deal
18446,83739,Good Deal 
23901,21836,Good Deal
26929,30913,Good Deal 
40492,44043,Good Deal 
96626,23597,Fair Deal
35121,47887,Great Deal
59981,3416,Fair Deal
24996,24652,Fair Deal
25997,112688,Fair Deal
29400,32063,Fair Deal
19915,49518,Fair Deal
31488,87134,Good Deal
13999,54300,Great Deal 
33966,19324,Great Deal 
36085,30611,Good Deal 
36398,48257,Great Deal
21000,32127,Good Deal 
27975,36117,Fair Deal
32934,13365,Great Deal 
27997,11131,Fair Deal
33999,19499,Good Deal
27998,63950,Good Deal 
35126,43314,Good Deal
22492,74712,Great Deal
19524,116822,Great Deal 
19999,36604,Good Deal 
27000,19949,Good Deal
43546,23882,Good Deal
35960,13300,Good Deal 
25168,35870,Fair Deal
36699,18143,Good Deal
27558,25660,Fair Deal
25388,45501,Great Deal 
27724,31696,Good Deal
36788,12341,Good Deal
30750,19529,Good Deal
22279,40296,Good Deal
35991,19048,Good Deal
32398,34383,Good Deal
26995,38175,Fair Deal
27393,17968,Good Deal
35981,31100,Fair Deal
21400,49911,Good Deal
28000,32919,Good Deal 
24298,33213,Great Deal 
38588,23521,Good Deal
28947,38732,Good Deal 
13000,105511,Great Deal 
43549,43805,Good Deal 
48491,14643,Good Deal
20498,76652,Fair Deal
19947,42567,Good Deal
33987,22779,Great Deal 
23995,35150,Good Deal
26878,47349,Good Deal
40828,83694,Fair Deal
40895,66746,Good Deal
23950,18087,Good Deal 
41475,45971,Good Deal
25313,21054,Good Deal
26987,24408,Good Deal
26250,111450,Fair Deal
30140,34269,Fair Deal
22795,49572,Good Deal
49888,32565,Fair Deal
6995,101296,Great Deal
25910,42024,Good Deal 
25998,11866,Fair Deal
26989,45467,Good Deal
40991,40090,Good Deal
20950,64101,Good Deal
41467,48525,Great Deal 
48200,17518,Fair Deal
30000,19877,Good Deal
30999,34386,Good Deal
23409,49722,Good Deal
38397,55558,Good Deal
33757,14226,Great Deal 
26900,14861,Good Deal
36887,14714,Good Deal
43400,92372,Fair Deal
21257,43018,Good Deal 
27500,81723,Good Deal
32880,14733,Fair Deal
22289,47750,Good Deal
26982,33042,Great Deal
28999,63233,Good Deal
25999,17280,Fair Deal
33991,39045,Good Deal
17699,89841,Good Deal
32932,15017,Good Deal
47097,47455,Fair Deal
30992,35007,Great Deal 
26250,57983,Fair Deal
29989,35774,Fair Deal
30550,31410,Good Deal
43998,48843,Good Deal
25998,64150,Fair Deal
41914,29822,Good Deal
41469,19268,Great Deal 
24139,30724,Good Deal 
37600,43626,Fair Deal
49498,24185,Good Deal
40995,36459,Good Deal
33812,38043,Great Deal 
27974,89771,Good Deal
41391,33457,Good Deal
40824,37897,Good Deal
19885,72889,Fair Deal
22995,81262,Great Deal 
20494,57793,Good Deal 
34740,23853,Great Deal
27710,10088,Good Deal
3998,119149,Great Deal 
4500,114747,Fair Deal
30000,32641,Great Deal 
32578,31165,Good Deal 
23517,42682,Fair Deal
31975,15907,Good Deal
31977,19576,Good Deal 
40844,35450,Good Deal 
34500,10843,Fair Deal
20579,43635,Good Deal
21139,42566,Good Deal 
24900,59621,Good Deal
43981,16152,Good Deal
36400,17392,Good Deal
39500,38976,Good Deal
35447,21836,Fair Deal
8495,145111,Fair Deal
16900,79401,Good Deal
16999,66664,Fair Deal
41442,50723,Great Deal 
49981,48160,Fair Deal
45995,19995,Fair Deal
25500,38453,Good Deal
16995,61067,Good Deal
26882,37514,Good Deal 
42999,17391,Fair Deal
43990,15656,Great Deal
26986,1000,Great Deal 
29887,65970,Fair Deal
9994,83497,Good Deal
34900,17918,Good Deal
17995,23261,Good Deal
43988,33356,Good Deal 
26875,19296,Fair Deal
29995,30317,Good Deal 
28995,34983,Good Deal 
45226,42289,Good Deal
27994,34695,Good Deal
39697,25906,Good Deal
19895,23851,Good Deal 
11994,39260,Good Deal
28471,41688,Good Deal
19200,22487,Fair Deal
21352,84944,Good Deal 
26995,23701,Good Deal
44989,36204,Fair Deal
22989,22053,Good Deal
32982,10339,Good Deal
22995,15740,Great Deal 
42144,42730,Good Deal
26251,25973,Good Deal
39768,15088,Good Deal
22666,70652,Fair Deal
29474,13430,Fair Deal
30000,11668,Great Deal 
41992,28236,Good Deal
21393,82928,Great Deal 
28977,36697,Good Deal
34993,10005,Good Deal
22928,13595,Good Deal
27499,13025,Good Deal
37900,56727,Good Deal
26191,38904,Good Deal
41250,80815,Good Deal
27500,37610,Great Deal 
24209,47134,Fair Deal
20939,41321,Good Deal
27985,88570,Good Deal
